speaker,word,vowel,F1,F2,lexical set,mono/diph,dipno
eli,face1,,515.677685,2018.536549,wells,d,d1
eli,face2,,308.74923,2582.391281,wells,d,d2
eli,palm,,778.26222,880.884435,wells,m,
eli,thought,,720.206215,1028.616804,wells,m,
eli,goat1,,512.562495,1454.201752,wells,d,d1
eli,goat2,,411.005983,1261.689638,wells,d,d2
eli,goose,,291.621332,1574.308937,wells,m,
eli,price1,,639.13372,1318.909799,wells,d,d1
eli,price2,,448.672873,2173.439383,wells,d,d2
eli,choice1,,478.617281,1205.499303,wells,d,d1
eli,choice2,,389.644745,2165.720419,wells,d,d2
eli,mouth1,,843.467599,1358.161809,wells,d,d1
eli,mouth2,,621.821011,1038.327974,wells,d,d2
eli,heed,,289.813829,2600.28064,hVd,m,
eli,hid,,462.480714,2227.088794,hVd,m,
eli,hayed1,,467.9634,2425.58423,hVd,d,d1
eli,hayed2,,289.494069,2647.030431,hVd,d,d2
eli,head,,596.535628,1996.03968,hVd,m,
eli,had,,875.436048,1738.507202,hVd,m,
eli,hod,,739.098006,1106.151993,hVd,m,
eli,hawed,,731.72964,1074.050243,hVd,m,
eli,hud,,620.78682,1338.661913,hVd,m,
eli,hoed1,,595.752263,1240.274884,hVd,d,d1
eli,hoed2,,362.784304,1122.504303,hVd,d,d2
eli,hood,,449.745531,1372.563691,hVd,m,
eli,who'd,,306.977538,1298.677122,hVd,m,
eli,how'd1,,813.534528,1597.85754,hVd,d,d1
eli,how'd2,,604.328296,1144.8073,hVd,d,d2
eli,hoyed1,,492.751503,994.05187,hVd,d,d1
eli,hoyed2,,372.021607,2150.180581,hVd,d,d2
eli,hide1,,859.446913,1366.072349,hVd,d,d1
eli,hide2,,395.740571,2128.074231,hVd,d,d2
eli,height1,,794.451512,1707.69406,hVd,d,d1
eli,height2,,339.535782,2457.457284,hVd,d,d2
eli,herd,,515.602639,1359.77352,hVd,m,
eli,ahead,,644.425196,1848.622356,hVd,m,
fiona,kit,,571.200044,2472.387832,wells,m,
fiona,dress,,885.131001,1857.221334,wells,m,
fiona,trap,,950.008119,1474.258194,wells,m,
fiona,lot,,724.75535,1015.109682,wells,m,
fiona,strut,,805.85219,1355.72224,wells,m,
fiona,foot,,533.892288,1535.838324,wells,m,
fiona,bath,,993.040016,1674.550806,wells,m,
fiona,cloth,,716.86222,1125.476128,wells,m,
fiona,nurse,,602.453429,1571.996684,wells,m,
fiona,fleece,, 339.515971 ,2508.438689,wells,m,
fiona,face1,,581.865557,2105.66643,wells,d,d1
fiona,face2,,411.824176,2712.423813,wells,d,d2
fiona,palm,,920.537681,1184.085754,wells,m,
fiona,thought,,690.71335,1080.179767,wells,m,
fiona,goat1,,554.552772,1273.658844,wells,d,d1
fiona,goat2,,381.326483,1021.231738,wells,d,d2
fiona,goose,,391.69784,2063.428246,wells,m,
fiona,price1,,801.971591 ,1239.495109,wells,d,d1
fiona,price2,,501.737503,2520.280523,wells,d,d2
fiona,choice1,,595.999724 ,997.122799,wells,d,d1
fiona,choice2,,378.933949,2586.785118,wells,d,d2
fiona,mouth1,,937.003675,1493.898501,wells,d,d1
fiona,mouth2,,635.189586 ,909.04266,wells,d,d2
fiona,heed,,315.541184,2920.957209,hVd,m,
fiona,hid,,511.406127,2517.386677,hVd,m,
fiona,hayed1,,665.499599,2583.374409,hVd,d,d1
fiona,hayed2,,419.686911,2619.129731,hVd,d,d2
fiona,head,,871.108855,2333.250246,hVd,m,
fiona,had,,1067.665053,1646.275624,hVd,m,
fiona,hod,,728.598981,940.902657 ,hVd,m,
fiona,hawed,,646.4526,918.873856,hVd,m,
fiona,hud,,519.560425,2143.943157,hVd,m,
fiona,hoed,,502.149205,1148.816516,hVd,m,
fiona,hood,,417.474342,2042.651048,hVd,m,
fiona,who'd,,370.668529,1863.486247,hVd,m,
fiona,how'd1,,941.309934,1414.78782,hVd,d,d1
fiona,how'd2,,542.260094,1031.245762,hVd,d,d2
fiona,hoyed1,,703.507599,943.091839,hVd,d,d1
fiona,hoyed2,,422.648347,2498.698121,hVd,d,d2
fiona,hide,,532.039577,2473.664655,hVd,m,
fiona,height1,,997.724738,1540.438811,hVd,d,d1
fiona,height2,,360.424304,2482.090259,hVd,d,d2
fiona,herd,,613.982039 ,1492.359755,hVd,m,
fiona,ahead,,878.478917,2216.158216,hVd,m,
